nombre,apellido,email,telefono
Laura,González,laura.gonzalez@example.com,612345678
Carlos,Pérez,carlos.perez@example.com,634567890
Marta,López,marta.lopez@example.com,698765432
Andrés,Ruiz,andres.ruiz@example.com,623456789
Elena,Morales,elena.morales@example.com,645678901
Javier,Serrano,javier.serrano@example.com,677889900
Patricia,Vidal,patricia.vidal@example.com,611223344
Hugo,Fernández,hugo.fernandez@example.com,699887766
Natalia,Costa,natalia.costa@example.com,633221100
Óscar,Ramos,oscar.ramos@example.com,655443322
